domain_length,entropy,digit_ratio,subdomain_depth,ttl,unique_ip_count,query_rate,label
12,3.084962500721156,0.0,1,169,2,6.78,1
15,3.240223928941852,0.0,1,2991,1,4.94,0
16,3.452819531114783,0.25,1,217,5,12.86,1
20,3.3464393446710154,0.0,1,175,2,9.63,1
21,3.7489948035250964,0.0,1,237,5,11.02,1
8,2.75,0.0,1,3091,3,3.71,0
9,2.94770277922009,0.0,1,171,5,6.62,1
41,4.387443772646929,0.24390243902439024,1,112,5,8.38,1
7,2.8073549220576037,0.0,1,2030,1,4.46,0
23,3.8492239123906247,0.21739130434782608,1,258,2,11.88,1
9,3.169925001442312,0.1111111111111111,1,3321,3,3.31,0
20,3.0282129458410014,0.8,3,111,22,14.59,2
19,3.2608281712244556,0.7894736842105263,3,146,10,6.84,3
18,2.8218881955261788,0.7777777777777778,3,51,10,11.48,2
20,3.065957320949175,0.8,3,133,4,9.47,3
17,2.9398290174664017,0.7647058823529411,3,65,31,18.6,2
13,3.238901256602631,0.0,1,1399,3,4.66,0
13,3.0269868333592873,0.0,1,1544,2,2.97,0
9,2.94770277922009,0.0,1,3466,2,4.68,0
20,3.3464393446710154,0.0,1,233,4,12.86,1
16,3.2806390622295662,0.75,3,105,23,14.7,2
10,3.1219280948873624,0.0,1,1505,1,3.88,0
7,2.8073549220576037,0.14285714285714285,1,1645,3,3.03,0
20,3.1464393446710157,0.8,3,152,11,6.89,3
7,2.521640636343318,0.0,1,1108,1,5.87,0
20,3.484183719779189,0.0,1,215,5,9.41,1
19,3.9321380397593746,0.0,1,2899,1,3.69,0
20,3.584183719779189,0.0,1,186,5,8.62,1
13,2.7192945256669794,0.7692307692307693,3,43,25,11.47,2
25,3.7034651896016473,0.0,1,124,5,7.21,1
8,2.75,0.0,1,1587,2,4.22,0
16,3.327819531114783,0.0,1,3477,3,4.62,0
10,2.9219280948873623,0.0,1,1327,1,5.72,0
17,3.4548223999466057,0.058823529411764705,2,140,11,11.33,3
13,3.180832987205441,0.0,1,2829,3,1.19,0
12,3.0220552088742005,0.75,3,105,38,17.25,2
19,3.6818808028034025,0.0,1,3306,3,1.72,0
22,3.970573095811685,0.045454545454545456,1,198,1,9.5,1
15,3.272905595320056,0.0,1,248,4,11.13,1
21,4.011365041826379,0.0,1,121,1,8.0,1
13,3.238901256602631,0.0,2,2283,3,3.59,0
11,3.2776134368191157,0.0,1,2013,2,2.13,0
19,3.826874881864638,0.0,1,229,5,7.35,1
12,3.084962500721156,0.08333333333333333,2,104,11,10.57,3
8,2.75,0.0,1,2721,1,1.43,0
19,3.2210972500579573,0.7894736842105263,3,110,9,7.66,3
21,3.499227541723357,0.09523809523809523,2,82,30,20.44,2
10,3.1219280948873624,0.0,1,1877,3,5.75,0
15,3.3735572622751855,0.0,1,3264,2,4.03,0
31,3.65076495694924,0.0,1,1225,1,1.26,0
19,3.32110433057849,0.0,1,251,5,9.19,1
11,2.8453509366224368,0.7272727272727273,3,40,23,18.74,2
17,3.616874605956222,0.17647058823529413,2,71,11,22.92,2
20,3.408694969562842,0.8,3,99,10,14.36,3
17,3.7345216647797512,0.0,1,2793,1,1.83,0
10,3.1219280948873624,0.0,1,1506,3,2.14,0
19,3.326360407952694,0.7894736842105263,3,79,14,23.69,2
28,3.6375375112660517,0.0,1,62,2,6.12,1
14,3.6644977792004614,0.0,1,647,1,2.51,0
19,3.6818808028034025,0.0,1,1636,1,4.16,0
19,3.6818808028034025,0.0,1,139,2,7.74,1
13,2.5654483718208256,0.7692307692307693,3,73,35,20.7,2
9,2.725480556997868,0.0,1,94,21,17.63,2
19,2.925853014561283,0.7894736842105263,3,40,35,16.21,2
14,2.8423709931771084,0.7857142857142857,3,72,11,5.02,3
22,3.2655833228877333,0.0,1,849,2,4.02,0
9,2.725480556997868,0.0,1,181,1,12.68,1
14,3.1820058147602133,0.0,1,3226,1,3.13,0
22,3.629219686524097,0.0,1,102,3,8.23,1
25,3.7034651896016473,0.0,2,2425,2,5.93,0
5,2.321928094887362,0.0,1,2100,1,2.93,0
28,3.6280852788913944,0.0,1,2288,2,1.92,0
20,3.065957320949175,0.8,3,75,23,20.03,2
27,4.088220835496801,0.2222222222222222,1,241,4,9.17,1
8,3.0,0.0,1,2776,2,4.48,0
16,3.452819531114783,0.0,1,209,5,11.46,1
16,3.625,0.25,1,126,4,7.27,1
23,3.729446194905256,0.0,1,1627,3,2.91,0
9,2.94770277922009,0.0,1,1605,2,2.49,0
32,3.480337797403416,0.0,1,238,4,8.9,1
11,3.2776134368191157,0.36363636363636365,1,3298,2,2.67,0
16,3.327819531114783,0.0,1,261,2,8.77,1
20,3.246439344671016,0.8,3,141,8,7.59,3
13,3.3927474104487847,0.0,1,1816,2,3.84,0
19,3.6163485660751644,0.10526315789473684,2,74,19,17.53,2
30,3.576352363578731,0.0,1,201,1,10.7,1
20,3.3464393446710154,0.0,1,146,3,7.81,1
14,2.9852281360342516,0.0,1,842,3,1.38,0
14,3.0930692077718898,0.0,2,1515,3,4.5,0
20,3.484183719779189,0.0,1,230,1,9.16,1
18,2.974937501201927,0.7777777777777778,3,135,9,9.06,3
8,3.0,0.0,1,1231,3,5.91,0
14,3.3787834934861753,0.0,1,250,5,11.47,1
22,3.913977073182752,0.4090909090909091,1,133,5,10.77,1
12,3.0220552088742005,0.0,1,3282,2,1.77,0
14,2.9852281360342516,0.0,1,150,1,12.86,1
12,2.918295834054489,0.0,1,205,3,11.0,1
21,2.946387519131128,0.8095238095238095,3,115,4,11.89,3
20,3.484183719779189,0.0,1,190,1,11.84,1
13,3.3927474104487847,0.0,1,2803,1,4.51,0
15,3.506890595608519,0.0,1,1145,3,4.5,0
14,2.8423709931771084,0.7857142857142857,3,115,18,12.38,2
20,3.6219280948873624,0.0,2,135,9,12.79,3
9,2.94770277922009,0.0,1,1420,3,2.26,0
20,3.684183719779189,0.0,1,1736,2,5.67,0
25,3.863465189601647,0.0,1,65,4,10.82,1
11,3.2776134368191157,0.2727272727272727,1,717,1,4.18,0
13,3.3927474104487847,0.0,1,1006,1,2.82,0
12,3.084962500721156,0.0,1,121,1,6.77,1
13,3.3927474104487847,0.0,1,3458,1,2.06,0
21,3.2368573034220742,0.8095238095238095,3,14,18,15.37,2
20,3.1464393446710157,0.8,3,71,11,10.14,3
22,3.629219686524097,0.0,1,1784,2,2.58,0
28,3.9677201004744993,0.2857142857142857,2,128,11,11.29,3
14,3.3787834934861753,0.07142857142857142,2,80,4,9.25,3
20,3.308694969562842,0.8,3,111,29,14.55,2
19,2.970840013101985,0.7894736842105263,3,104,8,5.0,3
16,3.327819531114783,0.0,1,101,5,7.41,1
19,3.747413039531641,0.0,1,285,4,9.79,1
23,4.088779347361361,0.30434782608695654,1,214,1,6.48,1
16,3.5,0.0,1,106,4,10.68,1
22,3.970573095811685,0.18181818181818182,1,72,4,6.21,1
29,3.892463753748262,0.0,1,232,5,7.64,1
19,3.6818808028034025,0.0,1,2631,2,3.94,0
16,3.375,0.1875,2,93,25,21.24,2
12,3.0220552088742005,0.0,1,133,2,12.1,1
17,3.572469458770135,0.0,1,965,1,1.34,0
21,3.141619208183979,0.8095238095238095,3,72,25,17.2,2
18,3.3082708345352603,0.0,1,79,1,8.02,1
15,3.323231428797621,0.0,1,1859,2,2.23,0
18,3.3921472236645345,0.16666666666666666,1,1538,1,2.93,0
11,2.8453509366224368,0.0,1,292,4,7.7,1
21,3.916126946588284,0.09523809523809523,2,93,22,22.91,2
18,3.3082708345352603,0.0,1,1954,2,1.31,0
13,3.3927474104487847,0.0,1,2341,2,3.05,0
14,3.2359263506290326,0.0,1,147,2,6.47,1
16,3.5,0.1875,2,57,20,19.21,2
19,3.11583409216322,0.7894736842105263,3,166,6,6.76,3
11,3.095795255000934,0.0,1,213,4,9.04,1
22,4.095795255000934,0.36363636363636365,1,284,2,10.31,1
6,2.584962500721156,0.0,1,633,2,4.55,0
14,3.1820058147602133,0.14285714285714285,1,1498,3,5.31,0
11,3.095795255000934,0.0,1,115,2,9.74,1
17,3.85216872360328,0.0,1,268,2,10.7,1
22,4.152391277629866,0.22727272727272727,1,115,2,10.44,1
11,3.2776134368191157,0.0,1,2202,1,2.56,0
14,3.2359263506290326,0.07142857142857142,2,27,16,23.83,2
19,3.721611723969901,0.2631578947368421,1,252,3,8.46,1
19,3.471354487013929,0.0,2,22,36,19.32,2
19,3.2866294867861954,0.7894736842105263,3,62,10,14.87,3
14,3.3787834934861753,0.0,1,163,3,12.85,1
17,3.7345216647797512,0.0,1,75,26,10.34,2
14,3.521640636343318,0.0,2,2935,2,2.49,0
12,3.4182958340544896,0.0,1,2793,2,4.2,0
20,3.141446071165522,0.0,1,166,3,9.65,1
7,2.8073549220576037,0.0,1,1192,1,4.47,0
17,3.6901165175936645,0.0,1,2790,3,4.17,0
16,3.875,0.0,1,85,3,12.51,1
19,3.6818808028034025,0.0,1,696,2,5.75,0
8,3.0,0.0,1,1624,2,4.42,0
14,3.2359263506290326,0.0,1,245,5,8.3,1
23,3.9690016298759927,0.21739130434782608,1,174,5,12.16,1
17,3.381580488309163,0.0,1,249,3,9.48,1
18,2.6688388898504303,0.7777777777777778,3,167,6,5.38,3
15,3.506890595608519,0.0,1,2613,2,3.21,0
24,3.8868421881310113,0.08333333333333333,2,115,6,8.13,3
7,2.521640636343318,0.14285714285714285,1,2349,3,3.23,0
19,3.2608281712244556,0.7894736842105263,3,87,14,11.73,2
20,3.208694969562842,0.8,3,81,20,21.66,2
18,3.5032583347756456,0.0,1,175,4,7.82,1
15,2.8402239289418523,0.0,1,297,2,9.9,1
15,3.3735572622751855,0.0,1,731,1,2.43,0
12,3.4182958340544896,0.0,1,156,5,8.56,1
20,3.8841837197791893,0.0,1,243,3,10.69,1
10,2.6464393446710157,0.0,1,2852,3,2.26,0
18,3.7254805569978675,0.05555555555555555,2,41,12,21.49,2
14,3.3787834934861753,0.0,1,233,5,7.86,1
20,3.1464393446710157,0.0,1,164,3,9.32,1
17,3.7345216647797512,0.0,1,2399,1,1.43,0
22,3.8796640049025943,0.09090909090909091,2,190,10,12.25,3
11,3.2776134368191157,0.0,1,2165,2,4.32,0
18,2.974937501201927,0.7777777777777778,3,108,30,19.67,2
13,3.238901256602631,0.0,1,2626,2,1.23,0
12,3.2516291673878226,0.0,1,2945,3,4.72,0
20,3.1709505944546685,0.8,3,132,9,5.03,3
12,2.8553885422075336,0.0,1,143,1,12.57,1
12,3.084962500721156,0.0,1,272,5,6.5,1
19,2.839775539645508,0.7894736842105263,3,30,22,15.34,2
14,2.2988252450030506,0.7857142857142857,3,129,10,8.84,3
11,3.095795255000934,0.0,1,3232,2,5.52,0
13,3.546593564294939,0.0,1,60,2,6.95,1
18,2.816340113853408,0.7777777777777778,3,160,8,11.24,3
16,3.75,0.0,1,273,2,8.07,1
13,3.0269868333592873,0.0,2,2343,2,4.61,0
24,3.3512274809529554,0.0,1,1741,2,2.92,0
19,3.11583409216322,0.7894736842105263,3,90,4,12.29,3
19,3.11583409216322,0.7894736842105263,3,74,22,15.51,2
20,3.7219280948873625,0.0,1,174,2,12.74,1
14,3.6644977792004614,0.0,1,2344,3,3.07,0
20,3.784183719779189,0.0,1,136,3,8.57,1
18,3.94770277922009,0.2222222222222222,2,67,4,5.56,3
19,3.11583409216322,0.7894736842105263,3,173,7,6.16,3
18,3.1132833342948745,0.7777777777777778,3,45,28,22.88,2
16,3.5,0.0,2,862,1,3.0,0
21,3.6537567082870015,0.0,1,92,2,8.28,1
13,3.546593564294939,0.15384615384615385,1,666,1,3.92,0
10,2.721928094887362,0.0,1,203,3,6.04,1
21,3.7256507561120937,0.14285714285714285,2,185,7,14.91,3
20,2.808694969562842,0.8,3,94,36,23.4,2
10,3.1219280948873624,0.0,1,3404,2,3.32,0
18,2.8218881955261788,0.7777777777777778,3,15,38,16.29,2
12,3.4182958340544896,0.0,1,2920,1,4.99,0
27,4.106377316818026,0.2222222222222222,1,207,5,10.08,1
18,3.0441104177484006,0.7777777777777778,3,93,11,7.29,3
11,2.8453509366224368,0.0,1,3430,1,2.05,0
13,3.546593564294939,0.0,1,3429,2,4.3,0
14,3.1280852788913944,0.0,1,273,2,7.49,1
14,3.521640636343318,0.0,1,252,2,11.99,1
23,4.1429146733542535,0.21739130434782608,1,223,3,8.64,1
11,3.095795255000934,0.0,1,225,3,10.48,1
12,3.4182958340544896,0.0,1,1310,3,5.81,0
7,2.8073549220576037,0.2857142857142857,1,2052,1,1.4,0
23,3.435755433941627,0.0,1,1427,2,5.52,0
20,3.6464393446710157,0.0,1,81,4,8.03,1
18,3.5724312513221195,0.0,1,2987,2,5.29,0
13,3.3927474104487847,0.15384615384615385,2,69,35,18.43,2
12,2.688721875540867,0.0,1,114,4,10.34,1
28,3.6514789228933084,0.0,1,265,5,6.55,1
21,3.8208888513501886,0.0,1,236,2,12.32,1
20,2.9037016960573485,0.8,3,107,11,5.71,3
25,3.623465189601647,0.0,1,1348,3,2.83,0
17,3.29277019393699,0.0,1,1762,1,1.98,0
14,3.521640636343318,0.42857142857142855,2,96,31,16.8,2
18,3.350209029099897,0.0,1,1954,1,4.69,0
